Date,Open,High,Low,Close,Adj Close,Volume
8/6/21,33.419998,33.580002,31.57,32.700001,32.700001,52858800
8/9/21,32.68,35.380001,32.349998,33.799999,33.799999,81054600
8/10/21,36.900002,37.16,31.440001,31.75,31.75,116181500
8/11/21,31.58,31.91,29.4,31.549999,31.549999,69684300
8/12/21,30.91,34.099998,30.75,33.07,33.07,71050000
8/13/21,32.200001,34.48,31.879999,33.470001,33.470001,57990800
8/16/21,33.849998,36.18,32.709999,35.689999,35.689999,86506600
8/17/21,34.990002,38.779999,34.59,37.16,37.16,86868900
8/18/21,37.32,38.700001,36.490002,36.549999,36.549999,57948000
8/19/21,36.59,36.779999,33.330002,33.82,33.82,47920600
8/20/21,33.900002,34.599998,32.200001,34.41,34.41,55432600
8/23/21,35.029999,37.93,34.400002,36.779999,36.779999,75319300
8/24/21,37.189999,48.200001,36.349998,44.259998,44.259998,228489600
8/25/21,44.900002,48.299999,43.169998,43.959999,43.959999,209271500
8/26/21,42.790001,44.779999,40.07,40.310001,40.310001,109710200
8/27/21,40.009998,41.580002,39.389999,40.84,40.84,72507400
8/30/21,41.779999,45.709999,41.279999,43.330002,43.330002,108370900
8/31/21,44.16,47.16,44.049999,47.130001,47.130001,127659600
9/1/21,47.16,47.849998,43.049999,43.689999,43.689999,82772400
9/2/21,43.869999,44.900002,42.369999,44.380001,44.380001,67848800
9/3/21,43.540001,44.799999,42.470001,44.02,44.02,52109500
9/7/21,45,47.93,44.880001,47.830002,47.830002,102133700
9/8/21,47.029999,49.400002,45.73,47.400002,47.400002,97372900
9/9/21,46.23,49,45.360001,48.52,48.52,85960900
9/10/21,49.150002,51.700001,48.950001,50.16,50.16,90152700
9/13/21,51.82,52.790001,50.349998,51.689999,51.689999,75111000
9/14/21,50.900002,51.549999,46.959999,47.299999,47.299999,65850300
9/15/21,46.43,47.740002,43.77,46.84,46.84,76214200
9/16/21,46.48,48.689999,45.950001,46.040001,46.040001,57581900
9/17/21,46.099998,46.380001,44.200001,44.200001,44.200001,68549000
9/20/21,41.950001,43.330002,38.529999,40.290001,40.290001,70807600
9/21/21,40.970001,41.490002,37.650002,38.82,38.82,64696300
9/22/21,38.5,40.57,37.740002,40.080002,40.080002,52441300
9/23/21,41.060001,41.849998,39.849998,39.98,39.98,41271100
9/24/21,39.810001,40.52,39.25,40.009998,40.009998,32555900
9/27/21,40.119999,40.630001,39.209999,39.299999,39.299999,31225500
9/28/21,38.900002,39.130001,36.880001,36.990002,36.990002,39523300
9/29/21,37.25,38.259998,35.369999,35.540001,35.540001,43007800
9/30/21,35.189999,41.779999,33.740002,38.060001,38.060001,102819800
10/1/21,39.41,40.130001,37.75,38.459999,38.459999,65919000
10/4/21,38.900002,39.029999,36.330002,36.77,36.77,39943200
10/5/21,36.860001,38.099998,36.189999,37.060001,37.060001,37702800
10/6/21,36.360001,37.650002,35.639999,36.830002,36.830002,35450500
10/7/21,36.779999,38.549999,36.599998,38.139999,38.139999,37704300
10/8/21,37.919998,38.779999,37.060001,37.189999,37.189999,29643100
10/11/21,36.849998,38.66,36.299999,37.25,37.25,37351400
10/12/21,37.25,37.57,36.220001,36.82,36.82,25223400
10/13/21,36.720001,38.150002,36.119999,37.91,37.91,33484500
10/14/21,37.799999,41.099998,37.75,40.07,40.07,67688200
10/15/21,40.200001,41.790001,39.779999,40.740002,40.740002,46524700
